PP,lon,lat
17.40850355,-101.5,71.5
18.14910905,-101.5,73.5
24.65109236,-101.5,74.5
137.3356656,-101.5,8.5
149.0425747,-101.5,9.5
212.8898989,-102.5,-0.5
204.9554377,-102.5,-1.5
144.2767732,-102.5,-10.5
142.2814868,-102.5,-11.5
140.710807,-102.5,-12.5
140.4208914,-102.5,-13.5
138.8070135,-102.5,-14.5
135.8458718,-102.5,-15.5
130.492681,-102.5,-16.5
123.3024958,-102.5,-17.5
111.2127273,-102.5,-18.5
95.29609345,-102.5,-19.5
181.8673201,-102.5,-2.5
78.2012436,-102.5,-20.5
65.47748617,-102.5,-21.5
57.21982683,-102.5,-22.5
52.95172303,-102.5,-23.5
51.12266905,-102.5,-24.5
50.87675958,-102.5,-25.5
51.49925151,-102.5,-26.5
53.15283739,-102.5,-27.5
55.3009662,-102.5,-28.5
58.41594951,-102.5,-29.5
168.6341943,-102.5,-3.5
63.39664447,-102.5,-30.5
69.95561504,-102.5,-31.5
81.64728127,-102.5,-32.5
91.27312964,-102.5,-33.5
103.1234895,-102.5,-34.5
109.3335761,-102.5,-35.5
111.6794019,-102.5,-36.5
111.5710246,-102.5,-37.5
110.2563808,-102.5,-38.5
106.9257527,-102.5,-39.5
164.9821111,-102.5,-4.5
101.9745367,-102.5,-40.5
98.09005313,-102.5,-41.5
93.92455586,-102.5,-42.5
88.37016765,-102.5,-43.5
84.19692561,-102.5,-44.5
79.37480333,-102.5,-45.5
73.38892348,-102.5,-46.5
68.61260236,-102.5,-47.5
66.3802757,-102.5,-48.5
65.06106271,-102.5,-49.5
159.7653474,-102.5,-5.5
65.4700402,-102.5,-50.5
66.41350289,-102.5,-51.5
65.61783778,-102.5,-52.5
63.31851613,-102.5,-53.5
64.13653084,-102.5,-54.5
63.64317335,-102.5,-55.5
62.49234139,-102.5,-56.5
59.61811926,-102.5,-57.5
58.58663242,-102.5,-58.5
58.06115524,-102.5,-59.5
154.0121557,-102.5,-6.5
56.13565987,-102.5,-60.5
49.49629441,-102.5,-61.5
39.31636139,-102.5,-62.5
32.74808665,-102.5,-63.5
29.93985842,-102.5,-64.5
28.41076992,-102.5,-65.5
30.30760168,-102.5,-66.5
31.13139406,-102.5,-67.5
28.21625333,-102.5,-68.5
23.08478071,-102.5,-69.5
149.84217,-102.5,-7.5
18.51836722,-102.5,-70.5
25.24512284,-102.5,-71.5
146.3245893,-102.5,-8.5
145.2315939,-102.5,-9.5
184.6991238,-102.5,0.5
155.5582161,-102.5,1.5
139.991395,-102.5,10.5
131.5176061,-102.5,11.5
123.5455389,-102.5,12.5
116.612073,-102.5,13.5
111.6544317,-102.5,14.5
116.8836298,-102.5,15.5
144.5885951,-102.5,16.5
339.6895135,-102.5,17.5
137.0662945,-102.5,2.5
125.3904042,-102.5,3.5
112.6670601,-102.5,4.5
105.1168439,-102.5,5.5
108.4817705,-102.5,6.5
118.8583916,-102.5,7.5
18.70043668,-102.5,71.5
16.10166345,-102.5,73.5
22.13708985,-102.5,74.5
25.1662989,-102.5,77.5
